message,intent
رجلي اتخربشت ,cut
رجلي اتفتحت,cut
رجلي بتجيب دم ,cut
رجلي مفتوحه,cut
ركبتي اتعورت,cut
شفتي اتفتحت و بتجيب دم,cut
صباعي اتعور,cut
صباعي اتفتح ,cut
صباعي اتفتح حاجه بسيطه,cut
صباعي بينزف,cut
ضوافري اتسكرت ,cut
ضوافري بتجيب دم ,cut
ظافر رجلي اتكسر ,cut
ظافر صباعي بيجيب دم ,cut
ظافري بيجيب دم ,cut
ظوافري بتجيب دم ,cut
في حته ازاز عورت رجلي,cut
في سلكه رفيعه دخلت في ايدي,cut
مرايه اتكسرت وعورتني,cut
مسكت ازاز مكسور بايديا,cut
مسكت ورقة و جرحتلي ايدي,cut
مقص السلك عورني,cut
و انا باحلق بالموس عورت نفسي و مش عارف اعمل ايه,cut
و انا بادبح الجاموسة عورت نفسي بالساطور,cut
و انا باقطع الخضار قطعت صباعي,cut
و انا بالعب كورة اتزحلقت عالأرض و ركبتي جابت دم,cut
وقعت اتعورت,cut
وقعت رجلي اتفتحت,cut
وقعت ع السلم رجلي اتعورت,cut
وقعت عالأرض و حاجبي اتفتح,cut
"وقعت عالأسفلت و ايدي اتخدشت جامد, اعمل ايه؟",cut
وقعت علي دماغي و بتجيب دم ,cut
وقعت علي وشي و بوقي اتفتح ,cut
آهلآ,greeting
أهلاً,greeting
أهلاً .,greeting
أهلا لينا,greeting
أهلا وسهلا,greeting
أهلاا,greeting
اخبارك ايه يا لينا ,greeting
ازيك يا لينا ,greeting
الزيك اهلا ومرحبا بحضراتكم,greeting
السلام عليكم,greeting
السلام عليكم ورحمة الله وبركاته,greeting
الو,greeting
اهلا,greeting
اهلاً,greeting
اهلا 😊,greeting
اهلا بكم,greeting
اهلا لينا,greeting
اهلا ليني,greeting
اهلا وسهلا بك,greeting
اهلا ومرحبا,greeting
اهلا يا  لينا ,greeting
اهلا يا لينا🤣,greeting
اهلاا,greeting
اهلل,greeting
اهلين ,greeting
اهلين يا لينا ,greeting
ايه الاخبار ,greeting
ايه الاخبار يا لينا ,greeting
ايه الدنيا معاكي يا لينا,greeting
سلام عليكم,greeting
صباح الخير,greeting
صباح الخير 😊,greeting
عاملة ايه ,greeting
عاملة ايه يا لينا ,greeting
كيف حالك ,greeting
كيف حالك يا لينا ,greeting
لنالينو ,greeting
لنلونة ,greeting
لينا,greeting
لينو لين,greeting
مرحبا,greeting
مرحباً,greeting
مرحبا لينا,greeting
هاى,greeting
هاي,greeting
هلا,greeting
ابنتي لديها نزيف أنفي ,nosebleed
ابني اتخبط في مناخيره,nosebleed
ابني اتخبط في مناخيره و بتنزل دم,nosebleed
ابني اصيب في أنفه,nosebleed
ابني مناخيره بتنزل دم,nosebleed
ابني نازل من مناخيره دم,nosebleed
ابني وقع على وشه و مناخيره بتنزل دم,nosebleed
ابني ينزف من أنفه,nosebleed
اتخبطت جامد في مناخيري و مش راضيه تبطل تنزف دما,nosebleed
اشعر بالجفاف في انفي,nosebleed
اشعر بالجفاف في انفي و بيجيب دم ,nosebleed
الجيوب الأنفية عندي بتنزف,nosebleed
انفي بيجيب دم ,nosebleed
انفي بينزف,nosebleed
انفي بينزل دم,nosebleed
انفي مصاب و بيجيب دم ,nosebleed
انفي ينزف,nosebleed
بنتي اتحبطت في مناخيرها,nosebleed
بنتي اتخبطت في مناخيرها و بتنزل دم,nosebleed
بنتي مناخيرها بتنزل دم,nosebleed
بنتي وقعت و مناخيرها بقت بتنزل دم,nosebleed
جفاف شديد حول انفي ,nosebleed
جفاف شديد حول مناخيري,nosebleed
جفاف شديد حولين مناخيري ,nosebleed
جفاف في انفي,nosebleed
دم بينزل من مناخيري ,nosebleed
فجاه مناخيري جابت دم,nosebleed
في دم في أنفي,nosebleed
فيه دم بينزل من مناخيري,nosebleed
لقيت دم نازل من مناخيري,nosebleed
مناخيري بتجيب دم ,nosebleed
مناخيري بتنزف ,nosebleed
مناخيري بتنزف لوحدها,nosebleed
مناخيري بتنزل دم,nosebleed
مناخيري بتنزل دم لوحدها ,nosebleed
مناخيري بتوجعني من جوة ,nosebleed
مناخيري بتوجعني و بتنزل دم ,nosebleed
مناخيري فيها جفاف شديد ,nosebleed
مناخيري متعورة من جوة,nosebleed
مناخيري مصابة ,nosebleed
نزيف انف,nosebleed
نزيف شديد من الانف,nosebleed
نزيف شديد من مناخيري,nosebleed
نزيف من الأنف,nosebleed
وقعت علي وشي و انفي بيجيب دم ,nosebleed
وقعت علي وشي و مناخيري بتجيب دم ,nosebleed
 فقدان السيطره علي المثانه وتقيؤ,poison
احتراق حول الشفاه,poison
احتراق حول الفم ,poison
احمرار حوالين الشفاه و الم في الصدر,poison
احمرار حول الشفاه,poison
احمرار حول الشفاه و اسهال و وجع في بطني,poison
احمرار حول الشفاه و تقيؤ,poison
احمرار حول الفم ,poison
ارتعاش في العضلات و ارتفاع درجة الحراره ,poison
ارتفاع درجة الحرارة و قيئ,poison
ارتفاع درجه الحراره و تقيؤ ,poison
ازرقاق الشفاه و صعوبه في التنفس,poison
اسهال شديد,poison
اسهال مائي,poison
اسهال و ارتفاع درجة الحرارة,poison
اسهال و فقدان السيطره علي المثانه,poison
اكلت اكل بايظ و من ساعتها بطني بتوجعني,poison
الم اسفل البطن ,poison
الم شديد في المعده و حمي,poison
الم في الصدر وصعوبه في التنفس,poison
الم في المعدة وصداع,poison
الم في المعده وفقدان السيطره علي المثانه,poison
الم ومغص شديد,poison
بتنفس بصعوبة ,poison
برجع كل لما اكل حاجة,poison
بطني بتوجعني و مش عارف اكل حاجة ,poison
بطني بتوجعني وفيه قيئ,poison
بطني وجعاني جامد و عمال أرجع,poison
بيحصل تقيئ و وجع قوي في بطني,poison
ترجيع مستمر ,poison
ترجيع وسخونية,poison
حاسس اني دايخ ,poison
حاسس اني مصدع و كأني هيغمي عليا ,poison
حدوث تقيئ و اسهال,poison
حمي و تقيؤ,poison
حمي و صداع,poison
خنقة و مش عارف اتنفس ,poison
دوخة و حاسس اني عايز ارجع ,poison
رؤيه مزدوجه و الم في الصدر,poison
رؤيه مزدوجه و طفح جلدي,poison
سخونة ووجع في البطن,poison
سعال و صداع و حمي,poison
شعور بالغثيان,poison
صداع قوي و حاسس اني دايخ ,poison
صداع و حمي,poison
صداع و دوخة ,poison
صعوبة التنفس ,poison
صعوبة في التنفس والم في المعدة,poison
صعوبه في التنفس و احمرار حول الفم,poison
صعوبه في التنفس و الم في الصدر,poison
صعوبه في التنفس و الم في المعده,poison
صعوبه في التنفس و تقيؤ,poison
صعوبه في التنفس و رؤيه مزدوجه,poison
صعوبه في التنفس وارتباك,poison
صعوبه في التنقس وازرقاق الشفتين,poison
ضيق تنفس و دوخة,poison
طفح جلدي و تخدر في العضلات,poison
طفح جلدي و تقيؤ,poison
طفح جلدي و صعوبه في التنفس ,poison
طفح جلدي والم شديد في المعده,poison
عندي غثيان و الم شديد في المعده,poison
عندي مغص شديد,poison
غثيان وحمي,poison
فقدان السيطره علي المثانه,poison
فقدان السيطره علي المثانه و حمي,poison
فقدان السيطره علي المثانه و وجع شديد في المعده,poison
قئ و فقدان السيطره علي المثانه ,poison
قيئ دم ,poison
كحه وحمه,poison
كل لما اكل حاجة ببقي عايز ارجع ,poison
كل مآكل حاجة بأرجعها,poison
مش قادر آكل حاجة و كل مآكل بارجع,poison
وجع اسفل البطن ,poison
وجع اسفل المعدة ,poison
وجع في المعدة وصداع,poison
وجع في بطني ,poison
وجع في جانبي ,poison
وجع في جنبي ,poison
وجع في جنبي اليمين ,poison
وجع في صدري ,poison
صعوبه في التنفس و دوار,poison
صعوبه في التنفس وبوقي ازرق,poison
صعوبه في التنفس وتقيؤ,poison
فقدان السيطره علي المثانه و صعوبه في التنفس,poison
 رجلي اتلوت,sprains
 وقعت على كتفي جامد,sprains
 وقعت وقعة جامدة على ركبتي,sprains
اتجزعت,sprains
اتخبطت جامد في ايدي,sprains
اتشنكلت و انا باجري في الملعب,sprains
اتلوت,sprains
التواء,sprains
التوت,sprains
الم في الكاحل,sprains
ايدي اتجزعت,sprains
ايدي اتلوت,sprains
ايدي مش عارف احركها,sprains
حاسس بوجع في رقبتي من امبارح,sprains
حركت رقبتي جامد بطريقه غلط وحاسه انها اتجزعت,sprains
رجلي اتجزعت,sprains
رجلي اتخبطت في المكتب ووجعاني جامد,sprains
رجلي اتلوت تحتيا,sprains
رجلي اتلوت جامد,sprains
رجلي مش قادر ادوس عليها ,sprains
رجلي وارمة,sprains
رجلي ورمت,sprains
رقبتي اتجزعت,sprains
مش عارف احرك رجلي,sprains
نمت بطريقه غلط و رقبتي وجعاني,sprains
وقعت على الارض واتجزعت,sprains
تسلم والله ,thank
تسلمي ,thank
تسلمي والله,thank
رائع جدًا .. شكرًا جزيلاً .,thank
شغل حلو,thank
شكرا,thank
شكراً,thank
شكرًا,thank
"شكرا
اللي بسأل عليه مش عندك شكرا لتعبك",thank
شكرًا .. شكرًا .,thank
شكرا ♥️,thank
شكرا جدا,thank
شكرا جزيلا بصراحة خدمة كويسه جدا,thank
شكرا على الإفادة والمجهود العظيم خالص تقديرى واحترامي لكم مع مزيد من النجاح,thank
شكرا لحضرتك,thank
شكرا لحضرتك وجزاكم الله خيرا,thank
شكرا لحضرتكم,thank
شكرا لذوقك,thank
عاش,thank
عظمة,thank
عظيم ,thank
قوليلي نكتة,joke
ضحكيني,joke
زهقان,joke
عايزة اضحك,joke
تعرفي نكت حلوة؟,joke
احكي نكات,joke
زهقانة,joke
مضايقه ضحكني,joke
نكت خفيفة,joke
نكت مضحكة,joke
حيوان عضني,animal
اتلدغت,animal
اتقرصت,animal
قرصة قرصه,animal
عضة,animal
جرح سطحي عميق,cut
اتفتحت,cut
قيء واسهال شديد,poison
كلت حاجة بايظة وجالي تسمم,poison
مغص شديد,poison
بطني بتوجعني,poison
رجلي وارمة,sprains
مش قادرة احرك ايدي رجلي رقبتي,sprains
علاج الحروق,burns
التهابات شديدة نتيجة الحرق,burns
لوي في الدراع,sprains
بحبك,crush
اتعضيت,animal
ضحكينا,joke
عايزين نضحك,joke
اتجرحت,cut
اسعافات جرح بسيط,cut
تطهير الجرح,cut
تعويره,cut
خدش,cut
اتخدشت,cut
جرح بسيط,cut
اتعورت في رجلي,cut
حرق من الدرجة الاولى,burns
الاسعافات للحروق,burns
عندى حرق,burns
سيولة من الانف,nosebleed
سيولة في الانف,nosebleed
بطني بتتقطع,poison
اتهبشت,animal
اتلويت,sprains
حل لتسمم المعدة,poison
نخفيف الم الالتواء,sprains
انا اتسممت,poison
محروق في ايدي,burns
كلت حاجة مش مظبوطة,poison
علاج حالات التسمم,poison
اسعافات الحرق,burns
حالة التواء,sprains
ناموسه عضتني,animal
كلب عورني ,animal
قطه فتحت صباعي ,animal
نمله قرصتني ,animal
ناموسه لدغتني,animal
اتعورت,cut
صباعي اتصاب,cut
في تعويره في صباعي ,cut
ايدي بتنزف,cut
رجلي مجروحه,cut
ايدي وجعاني ,sprains
رجلي اتلوت,sprains
كتفي موجوع,sprains
ايدي اتجزعت,sprains
رقبتي وجعاني ,sprains
اتلسعت من النار ,burns
شاي اتدلق علي رجلي,burns
ايدي جه عليها زيت سخن,burns
لمست حله سخنه,burns
اتدلق قهوه سخنه علي رجلي,burns
اتحرقت,burns
كلب خربشني ,animal
صباعي اتعور ,cut
ايدي اتفتحت,cut
ضافري اتكسر ,cut
مناخيري بينزل منها دم,nosebleed
صباعي مجروح,cut
